0;472;1;36;6;1;3003;1;4;3;1;2;1;4;22;1;2;2;3;3;1;2
1;575;2;48;3;1;17085.6;5;3;3;1;2;2;4;46;3;2;1;4;1;0;1
0;416;4;36;5;2;15363.6;1;1;1;3;1;2;4;24;1;2;2;4;1;0;1
1;642;1;24;7;3;8986.6;1;5;3;3;1;4;3;42;1;3;2;4;1;0;2
1;639;4;24;5;1;1761.2;1;4;1;1;2;1;1;23;1;2;1;3;3;0;2
1;656;2;12;5;1;1451.8;2;4;2;1;2;4;1;37;1;2;1;2;3;0;1
0;423;1;30;5;2;4351.2;1;2;3;4;2;4;2;29;1;2;1;2;1;1;1
1;715;2;15;7;4;2151.8;5;5;1;1;2;4;1;48;1;2;2;3;1;0;2
1;566;4;15;7;4;2059.4;1;3;1;1;2;4;3;33;1;3;2;3;3;0;1
0;534;2;27;7;4;3528;3;3;1;1;2;2;2;21;1;2;2;2;2;0;1
0;409;2;24;5;2;5679.8;1;4;2;4;2;3;4;41;1;2;1;3;3;0;1
0;402;1;18;5;5;1050;1;1;1;3;1;1;1;25;1;2;1;1;3;0;1
0;444;2;36;6;1;6237;1;3;3;4;2;2;1;28;2;2;2;4;3;0;1
1;651;4;6;6;1;2440.2;2;3;4;1;2;2;1;32;1;2;2;2;3;0;2
1;607;1;12;5;10;2650.2;1;3;1;3;1;4;2;27;1;2;1;3;3;0;1
1;629;4;42;5;4;10032.4;5;4;3;2;2;4;2;27;1;1;1;3;3;0;2
1;605;1;48;5;3;6703.2;1;4;1;1;2;3;2;24;1;2;1;3;3;0;1
0;366;2;24;2;5;2571.8;1;4;1;3;1;4;3;32;3;3;1;2;3;1;1
1;668;2;24;7;10;5429.2;2;2;1;4;2;2;4;35;1;2;1;3;1;0;2
1;648;2;48;5;6;7533.4;5;1;2;1;2;4;3;38;3;3;1;1;3;0;1
1;659;3;12;5;4;4758.6;5;5;3;1;2;3;4;35;1;2;1;4;2;0;1
1;644;4;24;7;2;2839.2;1;4;3;1;2;2;2;28;1;2;2;2;1;0;1
1;652;1;18;7;10;7422.8;1;5;3;1;2;4;3;34;1;3;3;4;3;0;1
1;627;4;12;5;10;2637.6;1;5;1;1;2;4;4;37;1;2;1;4;2;0;2
0;463;4;10;5;10;1832.6;5;3;1;1;2;4;2;25;1;2;1;2;1;0;1
1;588;2;48;6;6;10614.8;2;1;3;1;2;4;3;29;1;2;1;4;1;0;1
0;412;2;24;6;2;2889.6;1;1;2;3;1;2;2;32;1;2;1;4;2;0;1
1;732;4;33;7;3;10154.2;1;4;2;1;2;2;4;33;1;2;2;4;1;0;2
1;701;2;12;5;4;2193.8;1;3;4;3;1;1;4;20;1;2;1;3;1;0;2
1;616;2;12;5;4;1617;1;5;2;2;2;3;1;38;3;2;2;2;2;0;2
0;396;4;36;7;10;10997;1;3;1;3;1;2;1;23;2;2;2;3;2;1;1
1;627;1;12;5;2;1804.6;1;3;1;1;2;1;2;19;1;2;1;2;2;0;2
1;642;1;6;7;4;1636.6;5;5;1;1;2;4;1;65;1;2;2;3;1;0;1
0;411;2;30;7;10;5948.6;1;1;1;2;2;2;4;26;1;2;2;4;1;1;1
1;579;4;24;5;10;10350.2;1;3;4;1;2;4;2;41;1;2;1;2;1;0;2
0;454;1;16;7;10;3675;1;5;3;1;2;4;2;41;1;1;1;3;3;1;1
0;402;1;12;5;7;1037.4;2;1;1;3;1;3;2;20;1;2;1;3;2;0;2
1;655;4;9;7;10;2987.6;1;3;1;1;2;4;4;46;1;2;3;3;2;0;2
0;521;4;27;5;10;3598;1;3;2;3;1;3;1;19;1;1;1;3;2;0;2
1;667;4;6;7;4;1934.8;1;3;4;3;1;1;4;26;1;2;2;3;3;0;2
0;462;1;42;5;4;5551;1;2;1;1;2;3;4;32;1;2;1;3;2;0;2
1;595;3;12;5;4;2633.4;1;3;3;3;1;2;4;42;1;1;1;2;3;0;2
1;691;2;9;5;4;2965.2;1;3;3;1;2;2;1;35;1;2;1;2;1;0;2
1;652;4;15;6;4;2069.2;1;3;1;2;2;3;1;31;3;2;2;3;2;0;2
1;591;4;24;5;3;3738;1;5;1;1;2;4;4;33;1;2;1;4;2;0;1
1;619;2;12;5;1;1177.4;2;4;3;3;1;4;1;21;1;1;1;2;3;0;2
1;669;4;15;5;10;7453.6;3;5;4;3;1;4;3;33;1;3;1;3;1;0;1
1;664;1;27;5;4;4782.4;1;3;2;1;2;2;4;25;1;2;1;4;2;0;1
1;629;2;10;5;2;2129.4;1;3;1;4;2;2;4;29;1;2;1;2;2;0;1
0;437;1;18;5;10;1702.4;1;2;1;3;1;3;4;21;1;1;1;3;3;0;1
1;618;3;24;7;4;4407.2;5;3;2;1;2;2;4;29;1;2;2;3;3;0;1
0;495;2;24;5;3;5758.2;3;2;2;3;1;4;4;26;1;1;1;3;1;0;2
1;604;4;24;5;10;1748.6;1;2;1;2;2;2;1;26;1;2;1;3;1;0;1
1;582;4;6;5;2;4169.2;3;3;4;1;2;2;4;30;1;2;1;3;2;0;2
0;462;4;12;7;1;3208.8;1;1;1;1;2;2;4;40;2;2;2;4;1;0;2
1;594;4;12;7;1;1769.6;5;5;1;1;2;4;3;55;1;1;1;2;1;0;1
1;586;4;18;7;2;5292;1;2;2;4;2;2;4;33;1;2;2;4;1;0;2
1;647;4;15;5;10;4460.4;4;4;3;3;1;3;4;18;1;1;1;3;1;0;1
1;659;4;60;5;10;14512.4;1;5;3;1;2;4;2;40;1;2;1;4;2;0;1
1;665;4;18;7;4;8498;1;5;2;1;2;4;4;31;1;2;2;3;3;0;1
1;622;4;24;7;3;8125.6;4;3;1;1;2;2;1;25;1;2;2;3;1;0;1
1;559;1;24;5;2;10809.4;5;2;4;3;1;2;2;28;1;2;1;3;3;0;2
1;677;4;6;7;10;10350;4;3;3;3;1;2;1;39;3;2;2;2;3;0;1
1;671;4;6;5;2;2160.2;4;3;1;4;2;2;1;31;1;2;1;3;1;0;1
1;684;2;11;5;2;2207.8;4;2;1;3;1;1;1;18;1;2;1;3;2;0;2
1;644;2;15;7;4;3819.2;5;4;1;1;2;2;1;33;3;2;3;3;1;0;1
1;688;4;24;6;10;1003.8;5;5;1;2;2;4;4;52;1;2;2;3;1;0;1
1;660;1;6;7;10;1204;1;5;4;3;1;4;3;37;1;2;2;3;1;0;1
0;435;4;18;5;8;2720.2;1;2;1;3;1;4;1;21;1;2;1;3;3;1;1
0;384;1;36;5;10;12979.4;1;4;3;1;2;1;4;22;1;2;1;3;1;1;1
1;670;4;15;7;4;1842.4;3;3;3;2;2;2;2;45;1;2;2;2;1;0;1
1;680;4;24;5;3;4883.2;2;4;2;3;1;4;4;21;1;2;1;3;2;0;1
0;421;1;21;5;4;2569;1;3;2;3;1;2;1;23;1;2;2;3;3;0;1
1;646;1;18;3;1;4345.6;1;4;2;1;2;1;2;29;3;2;1;3;2;0;1
0;457;2;12;5;10;1170.4;2;2;1;3;1;2;2;21;3;2;1;2;1;0;2
1;698;4;24;5;2;7715.4;2;3;1;1;2;1;4;23;2;2;1;3;3;0;2
1;649;3;18;5;10;2745.4;1;5;2;3;1;2;4;21;1;2;1;4;3;0;2
1;592;2;10;5;10;10231.2;1;1;3;1;2;4;3;68;3;3;1;4;1;0;2
1;594;4;24;7;4;3393.6;5;5;1;1;2;4;2;51;1;2;2;3;3;0;1
